"","reaction_type","sampleID","starting_quantity","Cycle_number","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39"
"18","all_products","gblock_minusIRE_onlyExonnoIRE",0.5,"B24",3555.702702,3520.055147,3524.442467,3520.071608,3512.775403,3512.940313,3510.674708,3506.09352,3511.303025,3504.621632,3505.717839,3507.94825,3502.204211,3507.31699,3508.878158,3508.277331,3518.774517,3532.579826,3555.931567,3596.5179,3657.510101,3738.591864,3828.452278,3920.289187,4016.57674,4111.49194,4197.060839,4272.577541,4360.684469,4420.741859,4485.75655,4548.334306,4606.091093,4654.69794,4697.674468,4751.524455,4786.477053,4822.677542,4862.833331,4885.80473
"19","test1","gblock+IRE_plus18IRE",50,"C16",3487.322657,3449.296348,3445.700397,3444.446473,3438.209167,3439.654087,3437.253669,3440.231962,3442.895171,3440.499825,3458.435912,3474.641698,3509.56402,3563.415064,3644.12586,3733.528392,3832.838238,3923.626092,4024.064369,4113.830934,4189.284263,4264.749873,4333.630737,4399.006692,4456.272176,4507.126501,4555.720419,4589.587279,4625.919142,4655.647936,4684.299682,4701.984433,4730.244766,4746.339721,4759.161801,4770.673559,4785.35351,4802.13965,4811.30205,4818.666201
"20","test1","gblock+IRE_plus18IRE",50,"C17",3514.972334,3479.549008,3476.646481,3475.756873,3471.79448,3467.35947,3468.558321,3468.48415,3471.576481,3474.891354,3483.339157,3501.204022,3542.507854,3598.8814,3677.796133,3767.869176,3874.242811,3974.605221,4074.506076,4169.088748,4251.756949,4335.8166,4406.839594,4470.502048,4530.099508,4588.544295,4638.900098,4684.117544,4717.432228,4753.831135,4783.038687,4802.65798,4823.579861,4844.713094,4857.732194,4877.523129,4894.925949,4907.311807,4916.371475,4928.270109
"21","test1","gblock+IRE_plus18IRE",50,"C18",3558.74558,3519.858873,3513.171146,3513.70667,3508.735859,3507.747762,3509.406599,3509.185678,3507.816532,3511.3985,3523.35442,3543.770785,3588.220154,3651.539561,3730.012869,3832.46905,3941.266496,4049.415317,4154.96196,4248.900053,4340.702241,4422.883614,4502.93459,4568.333409,4629.983016,4686.822673,4739.295218,4791.792842,4820.940797,4862.160958,4888.202627,4918.861127,4934.515125,4961.094715,4974.32306,4992.753366,5010.568204,5020.360122,5034.075086,5047.917629
"22","all_products","gblock+IRE_plus18IRE",50,"C19",3418.776964,3385.354987,3382.155836,3376.842229,3375.503422,3375.592508,3373.803271,3371.148028,3377.722936,3378.221746,3384.074173,3398.44423,3417.545146,3450.362985,3505.241233,3571.212218,3654.019624,3742.404898,3823.281181,3908.485925,3991.219401,4066.698157,4134.329209,4203.93126,4262.167061,4318.665131,4372.355849,4419.462499,4457.710513,4493.749688,4524.399,4552.911294,4580.342655,4604.839353,4624.450519,4643.754804,4660.771682,4677.93058,4693.117897,4709.243873
"23","all_products","gblock+IRE_plus18IRE",50,"C20",3497.596808,3460.856753,3457.624373,3457.204757,3452.561622,3448.658053,3448.854176,3450.238609,3451.868843,3453.19844,3459.627368,3468.645562,3493.815562,3528.444715,3585.88626,3657.905421,3746.037695,3837.136201,3926.367243,4020.671575,4095.982931,4180.657772,4252.685346,4323.011247,4386.341698,4445.429881,4498.643263,4555.407378,4590.76003,4639.977618,4669.423875,4703.206544,4728.725113,4758.126508,4770.627232,4790.79774,4814.555405,4834.899626,4850.110577,4870.778251
"24","all_products","gblock+IRE_plus18IRE",50,"C21",3519.882096,3480.639287,3478.309487,3476.321146,3479.306959,3474.48421,3479.498755,3478.055183,3480.585026,3485.763356,3492.464468,3509.150876,3530.78175,3570.304516,3634.709491,3709.923786,3800.690214,3897.999297,3999.262612,4090.744272,4175.58847,4265.911927,4342.346454,4417.160812,4483.506344,4549.20747,4608.839652,4665.451094,4689.90249,4730.470705,4764.654083,4804.93682,4834.876017,4869.001018,4891.832078,4918.155111,4941.011092,4963.112488,4974.574278,4997.906953
"25","all_products","gblock_minusIRE_onlyExonnoIRE",50,"C22",3613.591136,3569.451337,3571.710281,3564.090792,3567.651018,3565.921826,3569.719892,3567.188387,3574.859854,3577.382803,3592.194956,3617.783696,3662.341802,3725.517778,3811.211343,3908.931396,4013.365785,4119.200489,4215.869455,4309.229313,4404.674474,4486.097792,4564.452214,4638.780981,4710.492335,4771.731473,4830.927839,4880.071415,4924.567602,4968.291472,5013.245549,5042.131876,5072.084706,5103.93739,5133.14909,5151.583361,5174.250896,5191.122998,5212.917459,5226.906782
"26","all_products","gblock_minusIRE_onlyExonnoIRE",50,"C23",3577.944644,3532.210153,3535.725184,3528.405625,3527.98254,3533.453982,3533.447449,3528.099213,3536.118205,3539.492254,3551.564559,3578.907509,3619.780721,3689.081505,3771.636191,3874.657797,3978.930453,4080.848115,4186.927024,4283.404936,4376.954925,4466.767544,4548.326378,4623.137381,4691.320868,4760.52976,4814.622253,4866.827667,4913.600668,4960.513222,4993.591692,5029.610105,5055.31934,5083.796959,5106.888977,5133.631715,5156.349685,5169.229117,5179.969716,5201.025796
"27","all_products","gblock_minusIRE_onlyExonnoIRE",50,"C24",3615.397849,3596.889979,3594.728005,3595.52445,3588.635952,3587.611432,3592.140083,3593.683133,3591.096795,3604.686083,3619.563941,3648.288009,3699.528043,3770.688777,3868.875837,3975.958776,4092.214672,4205.605048,4321.980746,4427.080036,4529.067437,4629.646718,4711.311066,4792.671376,4871.860554,4941.393117,5008.959376,5064.327465,5117.183576,5161.886603,5200.560737,5246.931272,5271.432942,5304.300953,5327.806206,5356.341792,5376.633254,5396.325011,5412.541717,5436.932108
