"","reaction_type","sampleID","starting_quantity","Cycle_number","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39"
"48","test1","gblock+IRE_plus18IRE",0.05,"F18",3572.436052,3519.979248,3514.448855,3512.191533,3510.548429,3509.499756,3504.883218,3503.626707,3503.442326,3505.285283,3503.771052,3503.02331,3499.310694,3500.679926,3501.94481,3501.845021,3506.266119,3501.958857,3509.122144,3514.930344,3524.388298,3543.918616,3573.679283,3633.719626,3707.49736,3803.325966,3907.42436,4012.802697,4106.848522,4195.574471,4279.310089,4359.962843,4433.402057,4499.893184,4560.227805,4620.885222,4670.079584,4714.054475,4753.909939,4794.390552
"49","all_products","gblock+IRE_plus18IRE",0.05,"F19",3617.092124,3565.473957,3569.706534,3563.526948,3564.693907,3561.41961,3559.916862,3556.572229,3555.352,3553.274792,3554.461694,3555.828416,3549.807302,3551.949042,3555.062625,3548.632043,3549.83833,3552.711596,3557.829772,3557.054443,3560.828722,3575.139844,3584.215094,3607.505039,3655.406659,3719.419604,3799.23028,3894.448889,3986.991804,4080.258489,4173.364389,4254.300205,4340.872911,4417.644601,4491.383651,4554.711621,4622.302821,4674.245832,4728.575851,4781.323709
"50","all_products","gblock+IRE_plus18IRE",0.05,"F20",3599.487882,3548.620085,3539.928443,3538.716251,3536.814489,3538.538753,3534.712121,3534.480193,3535.520894,3535.694311,3529.716588,3533.267971,3536.807084,3534.260384,3538.366561,3537.351799,3540.829408,3540.788611,3539.938752,3541.989066,3547.709544,3555.472364,3570.291263,3603.202894,3642.963751,3710.145948,3784.187181,3886.196458,3984.752916,4076.384728,4175.262086,4261.936442,4351.82232,4434.11699,4507.059132,4575.556891,4643.687045,4703.338897,4757.365152,4803.689372
"51","all_products","gblock+IRE_plus18IRE",0.05,"F21",3458.972062,3426.182231,3422.784472,3415.688733,3413.101037,3411.578423,3412.70768,3405.312687,3406.385373,3402.964373,3399.219078,3400.460178,3395.619113,3390.513777,3392.338903,3393.163111,3391.250113,3390.644387,3398.318189,3397.851772,3403.685259,3413.098661,3425.464482,3445.474403,3488.683089,3543.068174,3612.055915,3691.244038,3776.834984,3856.480913,3939.178716,4012.383074,4079.918993,4149.720797,4213.650044,4272.061655,4327.689247,4376.376381,4420.413818,4465.501746
"52","all_products","gblock_minusIRE_onlyExonnoIRE",0.05,"F22",3479.728239,3425.592002,3424.821273,3415.734028,3411.243481,3409.520666,3406.984853,3403.583128,3401.75587,3397.93728,3394.335405,3391.526195,3391.878404,3389.281836,3393.177182,3392.655701,3391.385571,3392.654345,3396.598077,3403.504915,3414.085602,3436.322738,3469.230805,3521.53458,3585.964747,3671.068957,3753.328448,3843.454803,3925.22793,4008.936433,4074.133294,4143.063899,4216.106611,4269.798954,4330.781745,4384.936553,4427.000746,4465.644962,4504.937398,4550.181314
"53","all_products","gblock_minusIRE_onlyExonnoIRE",0.05,"F23",3489.693187,3437.242885,3432.731316,3431.29152,3425.916794,3425.372859,3427.868351,3422.614814,3422.978748,3420.238749,3422.343349,3424.154737,3422.350833,3423.15241,3428.598605,3428.283294,3426.531459,3426.395213,3434.00227,3440.632649,3453.518866,3468.942116,3506.595742,3562.55305,3631.274971,3713.216768,3806.566501,3896.321301,3982.78791,4063.136077,4147.420268,4215.715128,4285.262706,4350.553671,4407.408995,4455.066611,4512.144817,4555.595064,4595.940448,4634.153249
"54","all_products","gblock_minusIRE_onlyExonnoIRE",0.05,"F24",3601.14287,3568.16412,3558.750042,3555.517228,3549.931746,3550.298961,3545.871726,3545.57043,3541.656534,3537.25421,3539.799838,3535.583591,3537.016087,3538.83064,3537.990327,3536.32013,3538.70562,3537.885415,3546.066731,3554.008763,3560.488351,3583.188456,3617.275549,3674.738288,3743.128139,3837.981125,3934.113122,4035.717872,4127.777882,4218.393481,4305.359505,4385.941634,4461.315309,4528.396729,4593.524764,4647.677765,4709.679856,4756.844258,4799.604282,4842.886589
"55","test1","gblock+IRE_plus18IRE",5,"G16",3416.59975,3388.310834,3378.550225,3379.456646,3373.140132,3371.602593,3372.891272,3364.78067,3367.113981,3365.860448,3365.296879,3366.739224,3372.311524,3376.864687,3389.985028,3410.873927,3456.874047,3523.094728,3599.539479,3695.344067,3790.289428,3881.942906,3965.833196,4041.428079,4121.607635,4187.533791,4247.401396,4305.547789,4351.14237,4392.911036,4425.465385,4466.714987,4497.043659,4525.227372,4543.723273,4567.965873,4592.256337,4605.242987,4621.002067,4638.781566
"56","test1","gblock+IRE_plus18IRE",5,"G17",3404.932212,3374.642361,3370.370826,3369.059362,3366.179943,3364.386645,3359.441012,3361.888278,3358.711997,3357.585174,3356.500092,3353.529804,3362.171075,3367.858115,3378.667595,3404.45634,3446.912439,3507.745496,3586.99416,3679.132913,3773.291072,3860.794159,3946.415289,4024.142676,4093.39536,4165.58732,4229.368839,4279.947865,4333.644153,4379.676892,4416.294173,4450.850217,4480.436265,4510.675675,4536.56027,4557.483815,4582.602125,4597.437565,4617.28459,4630.534506
"57","test1","gblock+IRE_plus18IRE",5,"G18",3330.557602,3301.528555,3296.594023,3298.729105,3291.994973,3288.676792,3288.776085,3287.502421,3286.370234,3281.695128,3285.09868,3285.558489,3293.445685,3298.646565,3314.715106,3334.897753,3370.742526,3429.277721,3502.357507,3584.582928,3672.367719,3749.089587,3828.61497,3904.356856,3971.533924,4028.683912,4081.726678,4133.368581,4179.529933,4217.321767,4253.343214,4282.409551,4311.546522,4336.126978,4359.977006,4383.152819,4399.129381,4419.238614,4430.239607,4445.353486
"58","all_products","gblock+IRE_plus18IRE",5,"G19",3451.991533,3415.301748,3413.009973,3412.047664,3406.068448,3401.288483,3397.096225,3402.609153,3395.615134,3397.375654,3397.665386,3395.887819,3396.745087,3401.892221,3410.763255,3423.125265,3444.581726,3486.641405,3549.536134,3626.28661,3708.232946,3798.70538,3890.576456,3972.298089,4051.285879,4124.943704,4195.5641,4258.02406,4314.577841,4369.826865,4415.605986,4461.788446,4501.661791,4532.339419,4562.645115,4598.191947,4625.96271,4648.832896,4677.963589,4697.576049
"59","all_products","gblock+IRE_plus18IRE",5,"G20",3445.026348,3409.669473,3401.296708,3399.30994,3397.601606,3393.935909,3393.394745,3391.561314,3388.85672,3388.356215,3391.125628,3390.912029,3393.774921,3395.58813,3406.090127,3419.341698,3443.27217,3483.305705,3543.903546,3617.484477,3709.981023,3797.903876,3884.097136,3966.147063,4046.152669,4117.668081,4192.98084,4255.722669,4310.268379,4365.014871,4417.486622,4464.006189,4493.807844,4530.38213,4566.223227,4599.769112,4626.544646,4649.438661,4671.778513,4694.391836
"60","all_products","gblock+IRE_plus18IRE",5,"G21",3519.555386,3480.275824,3476.591291,3474.483941,3477.925448,3471.25401,3469.012265,3470.439756,3468.603863,3469.182911,3469.755459,3473.293736,3471.086333,3475.454595,3486.457218,3503.649321,3530.431259,3579.34482,3648.093528,3736.535026,3837.341531,3939.504846,4037.15499,4134.351991,4229.745097,4311.785139,4399.590012,4474.970913,4535.652163,4602.720187,4660.204776,4705.491867,4754.075444,4798.659075,4836.141534,4872.96371,4905.963976,4934.836786,4964.374813,4994.516246
"61","all_products","gblock_minusIRE_onlyExonnoIRE",5,"G22",3523.990224,3480.596202,3479.005308,3478.969552,3477.499737,3471.989483,3475.32268,3475.026216,3473.816386,3474.551232,3468.363779,3472.798219,3479.042145,3486.530273,3505.882402,3538.268287,3592.830655,3664.79989,3762.961527,3866.946022,3967.19845,4076.334704,4171.9879,4266.241551,4354.512881,4437.043967,4511.251587,4583.423642,4642.751607,4697.350973,4752.51969,4799.966844,4846.172738,4883.301324,4913.907217,4944.372653,4977.47134,4994.481303,5022.293739,5040.337629
"62","all_products","gblock_minusIRE_onlyExonnoIRE",5,"G23",3522.549095,3484.207657,3481.714937,3481.078019,3475.603574,3475.738733,3481.462877,3477.294424,3478.757113,3475.832994,3478.009807,3478.832748,3483.471142,3493.521632,3511.586519,3539.843683,3597.061831,3675.447212,3764.788012,3870.1693,3972.342945,4073.780747,4169.008662,4258.825876,4353.938633,4430.528854,4513.227823,4581.47514,4643.301812,4694.894812,4753.161358,4799.681386,4845.773673,4884.261406,4911.905013,4943.127263,4977.414909,5002.249531,5022.847811,5048.707912
"63","all_products","gblock_minusIRE_onlyExonnoIRE",5,"G24",3494.971642,3478.814665,3477.944189,3474.496516,3472.053664,3471.724319,3467.864912,3471.94756,3472.185568,3470.270075,3474.808182,3474.218313,3484.569553,3496.6751,3520.053814,3551.687605,3606.952476,3683.5581,3777.726788,3883.214853,3988.499658,4090.531068,4187.590607,4288.70186,4377.789042,4460.964413,4537.98388,4607.721136,4673.092342,4731.63072,4787.125947,4832.664512,4871.61788,4912.375044,4948.574557,4979.878983,5013.968731,5034.693465,5060.998777,5082.266708
"64","test1","gblock+IRE_plus18IRE",0.01,"H16",3568.244803,3519.838036,3522.233075,3512.624197,3512.495118,3510.877378,3506.447047,3506.045963,3510.108456,3508.596777,3506.526613,3503.940985,3503.358922,3504.8389,3507.679833,3505.102795,3505.202767,3509.522711,3511.94931,3511.169007,3512.219233,3519.10783,3531.635285,3545.257074,3569.503556,3618.366865,3688.310581,3772.569087,3879.739581,3981.46775,4065.281687,4159.973276,4243.75043,4324.737309,4402.799555,4475.776797,4537.329648,4594.213703,4644.345495,4699.541999
"65","test1","gblock+IRE_plus18IRE",0.01,"H17",3586.366066,3552.277829,3552.453358,3547.217487,3545.313389,3544.3297,3542.130432,3539.211782,3543.037151,3537.492861,3538.735927,3541.3771,3536.629095,3537.771387,3536.317158,3542.198706,3540.19301,3540.11985,3539.825004,3547.081953,3547.275825,3553.585788,3562.765699,3579.112233,3610.809862,3657.544277,3730.303905,3830.986559,3941.015626,4052.161503,4153.964015,4259.351624,4350.385377,4446.511471,4519.958398,4602.854958,4671.103078,4728.868354,4783.571962,4833.11618
"66","test1","gblock+IRE_plus18IRE",0.01,"H18",3626.691603,3574.458679,3575.153914,3569.403166,3567.123122,3562.695188,3566.533394,3561.329128,3556.857237,3559.627499,3555.271257,3556.070126,3555.105653,3554.801753,3555.157092,3555.16111,3559.40076,3561.106501,3562.531932,3561.220527,3565.08639,3569.20216,3578.835179,3599.684593,3629.812305,3678.829393,3751.903272,3851.919016,3955.41533,4065.737408,4170.122412,4268.537019,4363.561292,4450.068621,4528.272056,4611.613286,4674.413669,4736.859001,4793.136727,4846.408066
"67","all_products","gblock+IRE_plus18IRE",0.01,"H19",3523.344428,3483.449205,3480.339938,3477.047895,3475.759987,3475.672563,3470.318566,3472.20301,3472.617959,3468.696423,3466.686885,3468.90887,3465.523291,3469.50087,3463.865623,3466.531255,3462.001155,3465.263609,3464.339792,3466.831041,3470.928326,3471.488152,3475.074967,3482.039966,3488.781399,3514.21712,3543.277116,3592.751161,3663.574508,3743.122122,3837.037027,3928.64749,4021.491717,4105.649783,4182.578501,4262.031846,4329.313511,4398.738489,4457.326373,4517.770891
"68","all_products","gblock+IRE_plus18IRE",0.01,"H20",3589.172577,3541.355178,3540.711718,3536.502152,3532.344293,3531.59462,3527.207916,3530.107057,3532.710194,3526.896429,3525.826991,3529.737769,3531.106694,3529.231202,3528.118438,3528.525395,3527.649795,3532.685528,3531.026622,3535.193933,3533.164589,3537.625595,3536.503061,3544.991685,3559.461816,3576.973455,3616.641601,3669.609379,3745.018686,3837.408741,3933.571817,4035.127904,4134.256886,4231.27154,4320.133368,4410.172932,4491.50132,4560.069582,4627.881713,4698.52368
"69","all_products","gblock+IRE_plus18IRE",0.01,"H21",3537.498179,3500.703413,3495.166135,3492.498761,3488.255211,3483.403864,3480.877065,3477.392506,3477.240151,3470.236601,3470.507698,3470.344672,3466.858573,3459.068611,3460.686682,3458.895231,3460.313903,3464.557743,3459.800541,3463.864432,3464.121636,3468.270838,3469.33825,3481.53458,3484.714419,3512.370935,3544.424881,3593.45007,3663.190119,3753.662012,3841.37287,3937.811285,4028.475787,4113.22951,4192.126662,4273.36285,4348.18733,4413.603823,4479.244827,4538.512117
"70","all_products","gblock_minusIRE_onlyExonnoIRE",0.01,"H22",3350.273408,3309.736507,3308.446133,3309.905094,3303.597681,3303.561419,3298.645101,3292.425196,3291.97325,3288.01638,3287.905898,3283.332074,3281.935933,3278.09919,3283.077672,3282.058587,3282.217398,3282.727596,3283.475789,3285.392754,3289.912546,3292.411567,3301.552197,3313.175795,3335.327798,3370.826169,3427.280655,3496.05278,3571.231331,3654.20514,3728.201502,3806.849074,3874.483772,3943.888342,4000.385518,4057.827372,4110.920488,4156.13511,4204.117173,4251.488744
"71","all_products","gblock_minusIRE_onlyExonnoIRE",0.01,"H23",3482.01269,3451.182413,3446.402637,3442.186005,3437.826185,3434.497673,3433.392957,3430.056327,3428.431209,3423.076252,3426.600021,3423.921747,3425.568072,3424.75098,3424.431096,3430.277953,3426.708428,3428.947285,3424.60215,3427.660022,3429.773168,3432.233592,3443.296117,3462.276782,3489.825068,3530.560288,3602.110088,3679.80397,3766.182401,3861.440138,3950.474926,4042.44996,4117.11116,4199.834014,4269.8899,4341.105824,4402.50299,4456.208224,4508.442331,4561.042986
"72","all_products","gblock_minusIRE_onlyExonnoIRE",0.01,"H24",3569.284336,3542.789646,3532.753425,3530.113918,3530.111018,3526.332823,3520.977136,3521.721947,3514.571467,3509.097918,3510.236781,3510.285267,3509.143445,3507.067407,3505.554376,3506.331596,3507.497032,3504.685702,3506.907659,3508.754251,3509.748843,3515.341992,3528.118,3540.720871,3571.231675,3613.433483,3682.08283,3764.700762,3854.620623,3950.136761,4046.932148,4142.285725,4225.481373,4311.643875,4385.953624,4456.559753,4529.497432,4582.502623,4640.833088,4697.563142
"73","test1","gblock+IRE_plus18IRE",1,"I16",3420.899614,3392.681213,3383.447433,3384.129861,3379.443099,3375.642845,3376.161097,3376.941858,3371.169341,3369.95749,3371.218415,3369.225255,3369.886211,3372.544852,3370.817171,3374.854017,3382.182197,3401.373478,3433.319836,3478.72415,3555.080395,3637.088281,3730.139075,3827.077693,3921.489156,4002.777257,4075.901603,4148.30896,4213.592185,4271.809074,4326.240351,4371.952312,4408.828028,4450.844845,4482.075854,4514.198362,4538.735441,4570.23827,4591.307933,4608.097123
"74","test1","gblock+IRE_plus18IRE",1,"I17",3426.158262,3393.359445,3393.357332,3388.700785,3386.685632,3382.739541,3377.256434,3376.566858,3374.53019,3371.623649,3369.082181,3368.961577,3368.89082,3373.807493,3374.351555,3378.770644,3386.215591,3402.995372,3430.744902,3483.907879,3557.708451,3644.73893,3738.541531,3831.566283,3929.589975,4008.753927,4090.575828,4164.114968,4232.678187,4291.551308,4345.731721,4389.227392,4440.434604,4478.697259,4515.480707,4547.082104,4575.421688,4601.844151,4627.297482,4650.661005
"75","test1","gblock+IRE_plus18IRE",1,"I18",3476.404982,3439.109015,3438.985657,3432.826219,3433.333711,3431.833968,3421.70786,3425.400643,3422.425767,3423.576044,3420.267414,3419.722444,3418.667739,3422.646693,3421.28295,3428.074929,3436.001349,3454.980669,3486.522465,3542.532943,3617.674368,3710.806823,3810.913969,3914.403396,4013.165467,4101.105333,4188.742937,4268.250746,4335.962552,4399.312811,4459.269553,4515.160979,4562.607144,4598.757129,4639.648942,4678.295443,4705.548436,4733.849062,4760.432511,4779.4379
"76","all_products","gblock+IRE_plus18IRE",1,"I19",3450.21337,3406.133787,3407.732251,3402.367147,3403.435184,3393.5751,3394.410114,3395.358166,3390.496845,3390.765843,3386.358012,3389.796593,3389.182715,3385.315731,3384.262075,3387.304662,3393.085007,3401.479369,3421.441903,3444.46536,3491.048943,3551.591648,3631.452269,3711.858258,3807.639299,3888.975839,3974.977282,4048.542452,4117.083557,4184.735935,4246.98427,4303.867496,4352.666764,4402.044407,4446.825811,4490.652939,4525.789106,4559.357942,4587.399158,4614.798695
"77","all_products","gblock+IRE_plus18IRE",1,"I20",3437.769278,3404.983749,3398.779283,3394.877245,3394.01762,3390.394947,3387.715912,3386.962499,3380.44994,3381.133124,3383.714418,3378.616339,3379.392381,3380.629095,3380.924011,3384.966016,3388.139992,3396.375701,3412.85821,3442.114942,3486.769033,3547.873693,3623.884651,3708.656725,3798.732285,3881.90231,3964.997852,4046.976622,4112.501153,4181.53419,4248.1494,4304.738047,4356.6185,4408.142526,4452.283353,4496.78288,4534.351992,4570.808649,4601.528115,4634.112961
"78","all_products","gblock+IRE_plus18IRE",1,"I21",3492.024964,3452.295979,3449.920807,3447.012215,3447.998501,3440.869786,3438.771099,3439.037467,3437.281616,3433.896347,3436.228874,3434.536814,3435.469391,3436.054937,3439.51104,3440.118195,3443.647923,3452.397267,3471.863862,3500.869242,3546.61169,3617.315856,3695.326663,3788.640828,3885.662997,3980.003596,4068.396491,4156.092935,4231.251593,4303.667946,4370.023409,4433.777116,4494.16852,4545.458845,4595.890942,4644.399818,4683.753755,4721.6491,4755.114744,4790.049681
"79","all_products","gblock_minusIRE_onlyExonnoIRE",1,"I22",3476.756541,3442.141455,3440.280738,3432.450133,3426.844474,3429.446106,3426.905268,3427.170288,3427.940199,3427.758374,3424.014268,3427.323664,3422.808927,3428.014783,3428.049116,3436.431163,3451.043252,3476.98131,3516.39024,3581.385951,3669.299884,3766.313777,3865.338138,3962.027364,4056.022199,4145.43728,4232.923252,4308.005481,4381.050755,4445.851985,4508.008233,4564.73029,4614.633158,4659.519971,4700.942039,4741.812105,4774.247497,4809.316017,4829.827283,4855.533785
"80","all_products","gblock_minusIRE_onlyExonnoIRE",1,"I23",3516.884879,3484.652317,3485.066202,3479.371246,3479.739657,3474.483586,3475.965791,3474.559093,3473.036092,3472.739855,3475.136846,3472.498699,3468.31686,3471.678183,3469.973407,3474.991344,3488.936796,3515.974327,3560.20123,3626.869024,3713.672463,3808.428042,3915.797959,4014.0112,4113.981291,4204.511038,4295.802751,4380.142781,4450.11079,4523.140532,4582.601311,4643.510388,4695.254932,4745.716807,4784.800372,4822.643744,4859.634377,4895.211233,4922.232594,4954.403979
"81","all_products","gblock_minusIRE_onlyExonnoIRE",1,"I24",3489.071976,3473.278561,3470.863225,3470.288228,3463.529524,3459.526674,3460.537866,3464.139814,3463.05851,3458.278344,3466.895418,3465.682541,3465.949235,3470.112531,3476.152669,3481.108809,3497.902165,3524.47328,3569.163765,3635.343392,3723.917603,3817.967066,3924.027534,4020.707023,4124.239902,4216.194254,4307.905055,4389.505172,4465.237084,4533.59276,4595.610084,4660.172299,4715.22842,4758.145641,4805.523738,4841.674324,4883.4317,4910.541265,4940.280279,4964.6972
